geonlp_id,entry_id,body,suffix,fullname,body_kana,suffix_kana,ne_class,hypernym,address,tel,longitude,latitude,code,address_level
"6SMV2J","01215","美唄","市/","美唄市","ビバイ","シ/","市区町村/市","北海道","美唄市西３条南１−１−１","0126-62-3131","141.85428","43.33278","lasdec:012157/jisx0402:01215","3"
"OOLNKM","01216","芦別","市/","芦別市","アシベツ","シ/","市区町村/市","北海道","芦別市北１条東１−３","0124-22-2111","142.18959","43.51828","lasdec:012165/jisx0402:01216","3"
"wKKGsP","01217","江別","市/","江別市","エベツ","シ/","市区町村/市","北海道","江別市高砂町６","011-382-4141","141.53615","43.10376","lasdec:012173/jisx0402:01217","3"
"eGJzaS","01218","赤平","市/","赤平市","アカビラ","シ/","市区町村/市","北海道","赤平市泉町４−１","0125-32-2211","142.04419","43.55817","lasdec:012181/jisx0402:01218","3"
"WCIrSV","01219","紋別","市/","紋別市","モンベツ","シ/","市区町村/市","北海道","紋別市幸町２−１−１８","0158-24-2111","143.35483","44.356","lasdec:012190/jisx0402:01219","3"
"EyHkAY","01220","士別","市/","士別市","シベツ","シ/","市区町村/市","北海道","士別市東６条４−１","0165-23-3121","142.40047","44.17847","lasdec:012203/jisx0402:01220","3"
"muGdj1","01221","名寄","市/","名寄市","ナヨロ","シ/","市区町村/市","北海道","名寄市大通南１−１","01654-3-2111","142.46371","44.35567","lasdec:012211/jisx0402:01221","3"
"4qF614","01222","三笠","市/","三笠市","ミカサ","シ/","市区町村/市","北海道","三笠市幸町２","01267-2-3181","141.87515","43.24537","lasdec:012220/jisx0402:01222","3"
"MmDYJ7","01223","根室","市/","根室市","ネムロ","シ/","市区町村/市","北海道","根室市常盤町２−２７","0153-23-6111","145.5827","43.33038","lasdec:012238/jisx0402:01223","3"
"uiCRra","01224","千歳","市/","千歳市","チトセ","シ/","市区町村/市","北海道","千歳市東雲町２−３４","0123-24-3131","141.6499","42.82006","lasdec:012246/jisx0402:01224","3"
"ceBK9d","01225","滝川","市/","滝川市","タキカワ","シ/","市区町村/市","北海道","滝川市大町１−２−１５","0125-23-1234","141.9106","43.55838","lasdec:012254/jisx0402:01225","3"
"UaACRg","01226","砂川","市/","砂川市","スナガワ","シ/","市区町村/市","北海道","砂川市西６条北３−１−１","0125-54-2121","141.90366","43.49426","lasdec:012262/jisx0402:01226","3"
"C6zvzj","01227","歌志内","市/","歌志内市","ウタシナイ","シ/","市区町村/市","北海道","歌志内市字本町５","0125-42-3211","142.03696","43.52163","lasdec:012271/jisx0402:01227","3"
"k2yohm","01228","深川","市/","深川市","フカガワ","シ/","市区町村/市","北海道","深川市２条１７−１７","0164-26-2228","142.05338","43.72326","lasdec:012289/jisx0402:01228","3"
"1YxgZp","01229","富良野","市/","富良野市","フラノ","シ/","市区町村/市","北海道","富良野市弥生町１−１","0167-39-2300","142.38313","43.34214","lasdec:012297/jisx0402:01229","3"
"JUw9Hs","01230","登別","市/","登別市","ノボリベツ","シ/","市区町村/市","北海道","登別市中央町６−１１","0143-85-2111","141.10628","42.41339","lasdec:012301/jisx0402:01230","3"
"rQv2pv","01231","恵庭","市/","恵庭市","エニワ","シ/","市区町村/市","北海道","恵庭市京町１","0123-33-3131","141.57751","42.88084","lasdec:012319/jisx0402:01231","3"
"9MtV7y","01232","亀田","市/","亀田市","カメダ","シ/","市区町村/市","北海道","函館市美原1丁目26番8号",,"140.75195","41.81566","lasdec:012327/jisx0402:01232","3"
"RIsNPB","01233","伊達","市/","伊達市","ダテ","シ/","市区町村/市","北海道","伊達市鹿島町２０−１","0142-23-3331","140.86472","42.47157","lasdec:012335/jisx0402:01233","3"
"zErGxE","01234","北広島","市/","北広島市","キタヒロシマ","シ/","市区町村/市","北海道","北広島市中央４−２−１","011-372-3311","141.56296","42.98538","lasdec:012343/jisx0402:01234","3"
"hAqzfH","01235","石狩","市/","石狩市","イシカリ","シ/","市区町村/市","北海道","石狩市花川北６条１−３０−２","0133-72-3111","141.31662","43.17078","lasdec:012351/jisx0402:01235","3"
"ZwprXK","01236","北斗","市/","北斗市","ホクト","シ/","市区町村/市","北海道","北斗市中央１−３−１０","0138-73-3111","140.65294","41.8231","lasdec:012360/jisx0402:01236","3"
"HsokFN","01300","石狩","振興局/","石狩振興局","イシカリ","シンコウキョク/","行政地域/振興局","北海道","札幌市中央区北３条西７丁目","011-231-4111","141.34549","43.0643","lasdec:013005/jisx0402:01300","2"
"pondnQ","01301","広島","町/","広島町","ヒロシマ","チョウ/","市区町村/町","北海道/札幌郡","北広島市中央4丁目2番地1","011-372-3311","141.56296","42.98538","lasdec:013013/jisx0402:01301","3"
"7km65T","01302","石狩","町/","石狩町","イシカリ","チョウ/","市区町村/町","北海道/石狩郡","石狩市花川北６条１丁目３０番地２","0133-72-3111","141.31662","43.17078","lasdec:013021/jisx0402:01302","3"
"PgkYNW","01303","当別","町/","当別町","トウベツ","チョウ/","市区町村/町","北海道/石狩郡","石狩郡当別町白樺町５８−９","0133-23-2330","141.51582","43.22371","lasdec:013030/jisx0402:01303","3"
"xcjRvZ","01304","新篠津","村/","新篠津村","シンシノツ","ムラ/","市区町村/村","北海道/石狩郡","石狩郡新篠津村第４７線北１３","0126-57-2111","141.65282","43.21979","lasdec:013048/jisx0402:01304","3"
"f8iKe2","01305","厚田","村/","厚田村","アツタ","ムラ/","市区町村/村","北海道/厚田郡","厚田郡厚田村大字厚田村１８番地","01337-8-2011","141.44167","43.40243","lasdec:013056/jisx0402:01305","3"
"X4hCW5","01306","浜益","村/","浜益村","ハママス","ムラ/","市区町村/村","北海道/浜益郡","浜益郡浜益村大字浜益村２番地の３","013379-2111","141.38937","43.60233","lasdec:013064/jisx0402:01306","3"
"F0gvE8","01307","恵庭","町/","恵庭町","エニワ","チョウ/","市区町村/町","北海道/千歳郡","恵庭市京町１番地","0123-33-3131","141.57751","42.88084","lasdec:013072/jisx0402:01307","3"
"mWfomb","01330","渡島","総合振興局/","渡島総合振興局","オシマ","ソウゴウシンコウキョク/","行政地域/総合振興局","北海道","函館市美原４丁目６番１６号","0138-47-9000","140.75273","41.8194","lasdec:013307/jisx0402:01330","2"
"4Seh4e","01331","松前","町/","松前町","マツマエ","チョウ/","市区町村/町","北海道/松前郡","松前郡松前町字福山２４８","0139-42-2275","140.11116","41.42801","lasdec:013315/jisx0402:01331","3"
"MOd9Mh","01332","福島","町/","福島町","フクシマ","チョウ/","市区町村/町","北海道/松前郡","松前郡福島町字福島８２０","0139-47-3001","140.24059","41.48736","lasdec:013323/jisx0402:01332","3"
"uKc2uk","01333","知内","町/","知内町","シリウチ","チョウ/","市区町村/町","北海道/上磯郡","上磯郡知内町字重内２１−１","01392-5-6161","140.40053","41.60668","lasdec:013331/jisx0402:01333","3"
"cGaVcn","01334","木古内","町/","木古内町","キコナイ","チョウ/","市区町村/町","北海道/上磯郡","上磯郡木古内町字本町２１８","01392-2-3131","140.43776","41.67843","lasdec:013340/jisx0402:01334","3"
"UC9NUq","01335","上磯","町/","上磯町","カミイソ","チョウ/","市区町村/町","北海道/上磯郡","上磯郡上磯町中央１丁目３番１０号","0138-73-3111","140.63718","41.84151","lasdec:013358/jisx0402:01335","3"
"Cy8GCt","01336","大野","町/","大野町","オオノ","チョウ/","市区町村/町","北海道/亀田郡","亀田郡大野町本町１７５番地","0138-77-8811","140.64778","41.89145","lasdec:013366/jisx0402:01336","3"
"ku7zkw","01337","七飯","町/","七飯町","ナナエ","チョウ/","市区町村/町","北海道/亀田郡","亀田郡七飯町本町６丁目１−１","0138-65-2511","140.69461","41.89515","lasdec:013374/jisx0402:01337","3"
"2q6s2z","01338","亀田","町/","亀田町","カメダ","チョウ/","市区町村/町","北海道/亀田郡","函館市美原1丁目26番8号",,"140.75195","41.81566","lasdec:013382/jisx0402:01338","3"
"Km5kKC","01339","戸井","町/","戸井町","トイ","チョウ/","市区町村/町","北海道/亀田郡","亀田郡戸井町字館町３番地","0138-82-2111","140.99835","41.72749","lasdec:013391/jisx0402:01339","3"
"si4dsF","01340","恵山","町/","恵山町","エサン","チョウ/","市区町村/町","北海道/亀田郡","亀田郡恵山町字日ノ浜１２７番地","0138-85-2331","141.10553","41.78802","lasdec:013404/jisx0402:01340","3"
"ae36aI","01341","椴法華","村/","椴法華村","トドホッケ","ムラ/","市区町村/村","北海道/亀田郡","亀田郡椴法華村字浜町１５６番地の１","0138-86-2111","141.13974","41.83166","lasdec:013412/jisx0402:01341","3"
"Sa1YSL","01342","南茅部","町/","南茅部町","ミナミカヤベ","チョウ/","市区町村/町","北海道/茅部郡","茅部郡南茅部町字川汲１５２０番地","01372-2-5111","140.9563","41.88955","lasdec:013421/jisx0402:01342","3"
"A60RAO","01343","鹿部","町/","鹿部町","シカベ","チョウ/","市区町村/町","北海道/茅部郡","茅部郡鹿部町字宮浜２９９","01372-7-2111","140.78656","42.01921","lasdec:013439/jisx0402:01343","3"
"i1ZKiR","01344","砂原","町/","砂原町","サワラ","チョウ/","市区町村/町","北海道/茅部郡","茅部郡砂原町字度杭崎４３番地の４","01374-8-3111","140.66551","42.12845","lasdec:013447/jisx0402:01344","3"
"ZXYD0U","01345","森","町/","森町","モリ","マチ/","市区町村/町","北海道/茅部郡","茅部郡森町字御幸町１４４−１","01374-2-2181","140.57693","42.10564","lasdec:013455/jisx0402:01345","3"
"HTXvIX","01346","八雲","町/","八雲町","ヤクモ","チョウ/","市区町村/町","北海道/二海郡","二海郡八雲町住初町１３８","0137-62-2111","140.26501","42.25585","lasdec:013463/jisx0402:01346","3"
"pPWor0","01347","長万部","町/","長万部町","オシャマンベ","チョウ/","市区町村/町","北海道/山越郡","山越郡長万部町字長万部４５３−１","01377-2-2000","140.3792","42.51386","lasdec:013471/jisx0402:01347","3"
"7LVh93","01360","檜山","振興局/","檜山振興局","ヒヤマ","シンコウキョク/","行政地域/振興局","北海道","檜山郡江差町字陣屋町３３６番地の３","01395-2-1010","140.12787","41.85894","lasdec:013609/jisx0402:01360","2"
"PHU9R6","01361","江差","町/","江差町","エサシ","チョウ/","市区町村/町","北海道/檜山郡","檜山郡江差町字中歌町１９３−１","0139-52-1020","140.12712","41.86889","lasdec:013617/jisx0402:01361","3"
"xDT2z9","01362","上ノ国","町/","上ノ国町","カミノクニ","チョウ/","市区町村/町","北海道/檜山郡","檜山郡上ノ国町字大留１００","0139-55-2311","140.12242","41.8048","lasdec:013625/jisx0402:01362","3"
"fzRVhc","01363","厚沢部","町/","厚沢部町","アッサブ","チョウ/","市区町村/町","北海道/檜山郡","檜山郡厚沢部町新町２０７","0139-64-3311","140.22774","41.92185","lasdec:013633/jisx0402:01363","3"
"XvQNZf","01364","乙部","町/","乙部町","オトベ","チョウ/","市区町村/町","北海道/爾志郡","爾志郡乙部町字緑町３８８","0139-62-2311","140.13933","41.96684","lasdec:013641/jisx0402:01364","3"
"FrPGHi","01365","熊石","町/","熊石町","クマイシ","チョウ/","市区町村/町","北海道/爾志郡","爾志郡熊石町字根崎１１６番地","01398-2-3111","139.9901","42.13568","lasdec:013650/jisx0402:01365","3"
"nnOzpl","01366","大成","町/","大成町","タイセイ","チョウ/","市区町村/町","北海道/久遠郡","久遠郡大成町字都４２７番地","01398-4-5511","139.823","42.2313","lasdec:013668/jisx0402:01366","3"
"5jNs7o","01367","奥尻","町/","奥尻町","オクシリ","チョウ/","市区町村/町","北海道/奥尻郡","奥尻郡奥尻町字奥尻８０６","01397-2-3111","139.51167","42.17536","lasdec:013676/jisx0402:01367","3"
"NfMkPr","01368","瀬棚","町/","瀬棚町","セタナ","チョウ/","市区町村/町","北海道/瀬棚郡","瀬棚郡瀬棚町字本町７１９番地","01378-7-3311","139.84773","42.45224","lasdec:013684/jisx0402:01368","3"
"vbLdxu","01369","北檜山","町/","北檜山町","キタヒヤマ","チョウ/","市区町村/町","北海道/瀬棚郡","瀬棚郡北檜山町字北檜山２６６番地","01378-4-5111","139.87662","42.41475","lasdec:013692/jisx0402:01369","3"
"d7K6fx","01370","今金","町/","今金町","イマカネ","チョウ/","市区町村/町","北海道/瀬棚郡","瀬棚郡今金町字今金４８−１","0137-82-0111","140.00485","42.42924","lasdec:013706/jisx0402:01370","3"
"V3IYXA","01371","せたな","町/","せたな町","セタナ","チョウ/","市区町村/町","北海道/久遠郡","久遠郡せたな町北檜山区徳島６３−１","0137-84-5111","139.8882","42.42064","lasdec:013714/jisx0402:01371","3"
"CZHRFD","01390","後志","総合振興局/","後志総合振興局","シリベシ","ソウゴウシンコウキョク/","行政地域/総合振興局","北海道","虻田郡倶知安町北１条東２丁目","0136-22-1111","140.75751","42.90221","lasdec:013901/jisx0402:01390","2"
"kVGKnG","01391","島牧","村/","島牧村","シママキ","ムラ/","市区町村/村","北海道/島牧郡","島牧郡島牧村字泊８３−１","0136-75-6211","140.0641","42.70167","lasdec:013919/jisx0402:01391","3"
"2RFD5J","01392","寿都","町/","寿都町","スッツ","チョウ/","市区町村/町","北海道/寿都郡","寿都郡寿都町字渡島町１４０−１","0136-62-2511","140.22139","42.78923","lasdec:013927/jisx0402:01392","3"
"KNEvNM","01393","黒松内","町/","黒松内町","クロマツナイ","チョウ/","市区町村/町","北海道/寿都郡","寿都郡黒松内町字黒松内３０２−１","0136-72-3311","140.31194","42.67121","lasdec:013935/jisx0402:01393","3"
"sJDovP","01394","蘭越","町/","蘭越町","ランコシ","チョウ/","市区町村/町","北海道/磯谷郡","磯谷郡蘭越町蘭越町２５８−５","0136-57-5111","140.54243","42.80624","lasdec:013943/jisx0402:01394","3"
"aFChdS","01395","ニセコ","町/","ニセコ町","ニセコ","チョウ/","市区町村/町","北海道/虻田郡","虻田郡ニセコ町字富士見４７","0136-44-2121","140.68826","42.80622","lasdec:013951/jisx0402:01395","3"
"SBB9VV","01396","真狩","村/","真狩村","マッカリ","ムラ/","市区町村/村","北海道/虻田郡","虻田郡真狩村字真狩１１８","0136-45-2121","140.80302","42.76448","lasdec:013960/jisx0402:01396","3"
"AxA2DY","01397","留寿都","村/","留寿都村","ルスツ","ムラ/","市区町村/村","北海道/虻田郡","虻田郡留寿都村字留寿都１７５","0136-46-3131","140.88684","42.74567","lasdec:013978/jisx0402:01397","3"
"ityVm1","01398","喜茂別","町/","喜茂別町","キモベツ","チョウ/","市区町村/町","北海道/虻田郡","虻田郡喜茂別町字喜茂別１２３","0136-33-2211","140.93677","42.80013","lasdec:013986/jisx0402:01398","3"
"0pxO44","01399","京極","町/","京極町","キョウゴク","チョウ/","市区町村/町","北海道/虻田郡","虻田郡京極町字京極５２７","0136-42-2111","140.88771","42.86047","lasdec:013994/jisx0402:01399","3"
"IlwGM7","01400","倶知安","町/","倶知安町","クッチャン","チョウ/","市区町村/町","北海道/虻田郡","虻田郡倶知安町北１条東３−３","0136-22-1121","140.75891","42.90163","lasdec:014001/jisx0402:01400","3"
"qhvzua","01401","共和","町/","共和町","キョウワ","チョウ/","市区町村/町","北海道/岩内郡","岩内郡共和町南幌似３８−２","0135-73-2011","140.60898","42.94538","lasdec:014010/jisx0402:01401","3"
"8duscd","01402","岩内","町/","岩内町","イワナイ","チョウ/","市区町村/町","北海道/岩内郡","岩内郡岩内町字清住２５８","0135-62-1011","140.50937","42.97856","lasdec:014028/jisx0402:01402","3"
"Q9tkUg","01403","泊","村/","泊村","トマリ","ムラ/","市区町村/村","北海道/古宇郡","古宇郡泊村大字茅沼村字臼別１９１−７","0135-75-2021","140.50017","43.06159","lasdec:014036/jisx0402:01403","3"
"y5sdCj","01404","神恵内","村/","神恵内村","カモエナイ","ムラ/","市区町村/村","北海道/古宇郡","古宇郡神恵内村大字神恵内村８１−４","0135-76-5011","140.51892","43.17821","lasdec:014044/jisx0402:01404","3"
"g1r6km","01405","積丹","町/","積丹町","シャコタン","チョウ/","市区町村/町","北海道/積丹郡","積丹郡積丹町大字美国町字船澗４８","0135-44-2111","140.59235","43.29698","lasdec:014052/jisx0402:01405","3"
"XXpZ2p","01406","古平","町/","古平町","フルビラ","チョウ/","市区町村/町","北海道/古平郡","古平郡古平町大字浜町４０−４","0135-42-2181","140.64056","43.26527","lasdec:014061/jisx0402:01406","3"
"FToRKs","01407","仁木","町/","仁木町","ニキ","チョウ/","市区町村/町","北海道/余市郡","余市郡仁木町西町１−３６−１","0135-32-2511","140.76372","43.15294","lasdec:014079/jisx0402:01407","3"
"nPnKsv","01408","余市","町/","余市町","ヨイチ","チョウ/","市区町村/町","北海道/余市郡","余市郡余市町朝日町２６","0135-21-2111","140.78149","43.19525","lasdec:014087/jisx0402:01408","3"
"5LmDay","01409","赤井川","村/","赤井川村","アカイガワ","ムラ/","市区町村/村","北海道/余市郡","余市郡赤井川村字赤井川７４−２","0135-34-6211","140.81358","43.07615","lasdec:014095/jisx0402:01409","3"
"NHlvSB","01420","空知","総合振興局/","空知総合振興局","ソラチ","ソウゴウシンコウキョク/","行政地域/総合振興局","北海道","岩見沢市８条５丁目","0126-23-2231","141.76991","43.19957","lasdec:014206/jisx0402:01420","2"
"vDkoAE","01421","北","村/","北村","キタ","ムラ/","市区町村/村","北海道/空知郡","空知郡北村字赤川５９３番地の１","0126-56-2001","141.72073","43.25962","lasdec:014214/jisx0402:01421","3"
"dzjhiH","01422","栗沢","町/","栗沢町","クリサワ","チョウ/","市区町村/町","北海道/空知郡","空知郡栗沢町東本町２１番地","0126-45-2411","141.74611","43.12183","lasdec:014222/jisx0402:01422","3"
"Vvia0K","01423","南幌","町/","南幌町","ナンポロ","チョウ/","市区町村/町","北海道/空知郡","空知郡南幌町栄町３−２−１","011-378-2121","141.65076","43.06375","lasdec:014231/jisx0402:01423","3"
"Drh2IN","01424","奈井江","町/","奈井江町","ナイエ","チョウ/","市区町村/町","北海道/空知郡","空知郡奈井江町字奈井江１１","0125-65-2111","141.88882","43.4444","lasdec:014249/jisx0402:01424","3"
"lnfVqQ","01425","上砂川","町/","上砂川町","カミスナガワ","チョウ/","市区町村/町","北海道/空知郡","空知郡上砂川町中央北１条５−１−７","0125-62-2011","141.98732","43.47136","lasdec:014257/jisx0402:01425","3"
"3jeO8T","01426","江部乙","町/","江部乙町","エベオツ","チョウ/","市区町村/町","北海道/空知郡","空知郡江部乙町西12丁目3?7",,,,"lasdec:014265/jisx0402:01426","3"
"LfdGQW","01427","由仁","町/","由仁町","ユニ","チョウ/","市区町村/町","北海道/夕張郡","夕張郡由仁町新光２００","0123-83-2111","141.7924","43.0074","lasdec:014273/jisx0402:01427","3"
"tbczyZ","01428","長沼","町/","長沼町","ナガヌマ","チョウ/","市区町村/町","北海道/夕張郡","夕張郡長沼町中央北１−１−１","0123-88-2111","141.69518","43.01011","lasdec:014281/jisx0402:01428","3"
"b7bsh2","01429","栗山","町/","栗山町","クリヤマ","チョウ/","市区町村/町","北海道/夕張郡","夕張郡栗山町松風３−２５２","0123-72-1111","141.78445","43.05562","lasdec:014290/jisx0402:01429","3"
"T3akZ5","01430","月形","町/","月形町","ツキガタ","チョウ/","市区町村/町","北海道/樺戸郡","樺戸郡月形町１２１９","0126-53-2321","141.6675","43.29447","lasdec:014303/jisx0402:01430","3"
"AZ9dH8","01431","浦臼","町/","浦臼町","ウラウス","チョウ/","市区町村/町","北海道/樺戸郡","樺戸郡浦臼町字ウラウスナイ１８３−１５","0125-68-2111","141.81918","43.44885","lasdec:014311/jisx0402:01431","3"
"iV86pb","01432","新十津川","町/","新十津川町","シントツカワ","チョウ/","市区町村/町","北海道/樺戸郡","樺戸郡新十津川町字中央３０１−１","0125-76-2131","141.87694","43.54851","lasdec:014320/jisx0402:01432","3"
"0R6Z7e","01433","妹背牛","町/","妹背牛町","モセウシ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡妹背牛町字妹背牛５２００","0164-32-2411","141.94438","43.69183","lasdec:014338/jisx0402:01433","3"
"IN5RPh","01434","秩父別","町/","秩父別町","チップベツ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡秩父別町４１０１","0164-33-2111","141.99585","43.75866","lasdec:014346/jisx0402:01434","3"
"qJ4Kxk","01435","多度志","町/","多度志町","タドシ","チョウ/","市区町村/町","北海道/雨竜郡","深川市多度志1170","0164-27-2211","142.04521","43.81658","lasdec:014354/jisx0402:01435","3"
"8F3Dfn","01436","雨竜","町/","雨竜町","ウリュウ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡雨竜町字フシコウリウ１０４","0125-77-2211","141.89796","43.64259","lasdec:014362/jisx0402:01436","3"
"QB2vXq","01437","北竜","町/","北竜町","ホクリュウ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡北竜町字和１１−１","0164-34-2111","141.87534","43.73308","lasdec:014371/jisx0402:01437","3"
"yx1oFt","01438","沼田","町/","沼田町","ヌマタ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡沼田町南１条３−６−５３","0164-35-2111","141.93381","43.80605","lasdec:014389/jisx0402:01438","3"
"gt0hnw","01439","幌加内","町/","幌加内町","ホロカナイ","チョウ/","市区町村/町","北海道/雨竜郡","雨竜郡幌加内町字幌加内４６９９番地","01653-5-2121","142.14952","44.01121","lasdec:014397/jisx0402:01439","3"
"YoZa5z","01450","上川","総合振興局/","上川総合振興局","カミカワ","ソウゴウシンコウキョク/","行政地域/総合振興局","北海道","旭川市６条通１０丁目","0166-26-1211","142.36607","43.77","lasdec:014508/jisx0402:01450","2"
"GkY2NC","01451","東鷹栖","町/","東鷹栖町","ヒガシタカス","チョウ/","市区町村/町","北海道/上川郡","旭川市東鷹栖４条３丁目","0166-57-2111","142.40733","43.83112","lasdec:014516/jisx0402:01451","3"
"ogWVvF","01452","鷹栖","町/","鷹栖町","タカス","チョウ/","市区町村/町","北海道/上川郡","上川郡鷹栖町南１条３丁目５番１号","0166-87-2111","142.35432","43.84341","lasdec:014524/jisx0402:01452","3"
"6cVOdI","01453","東神楽","町/","東神楽町","ヒガシカグラ","チョウ/","市区町村/町","北海道/上川郡","上川郡東神楽町南１条西１丁目３−２","0166-83-2111","142.45067","43.69691","lasdec:014532/jisx0402:01453","3"
"O8UGVL","01454","当麻","町/","当麻町","トウマ","チョウ/","市区町村/町","北海道/上川郡","上川郡当麻町３条東２丁目１１−１","0166-84-2111","142.50623","43.82766","lasdec:014541/jisx0402:01454","3"
"w4TzDO","01455","比布","町/","比布町","ピップ","チョウ/","市区町村/町","北海道/上川郡","上川郡比布町北町１−２−１","0166-85-2111","142.47752","43.87476","lasdec:014559/jisx0402:01455","3"
"e0SslR","01456","愛別","町/","愛別町","アイベツ","チョウ/","市区町村/町","北海道/上川郡","上川郡愛別町字本町１７９","01658-6-5111","142.57382","43.90802","lasdec:014567/jisx0402:01456","3"
