geonlp_id,entry_id,body,body_kana,ne_class,latitude,longitude,hypernym,標高,三角点名称,備考
"tL5Z2h","32","チトカニウシ山","チトカニウシヤマ","山地","43.90667","143.04861","北海道/北見山地","1446","千登蟹山","　"
"bH4RKk","33","渚滑岳","ショコツダケ","山地","44.04028","142.91750","北海道/北見山地","1345","渚滑岳","　"
"TD3Ksn","34","武華山","ムカヤマ","山地","43.70583","143.16056","北海道/石狩山地","1759","大山","　"
"Bz2Daq","35","天塩岳","テシオダケ","山地","43.96444","142.88806","北海道/北見山地","1558","天塩岳","　"
"jv1vSt","36","ニセイカウシュッペ山","ニセイカウシュッペヤマ","山地","43.78000","142.98528","北海道/石狩山地","1883","標高点","ニセイカウシュペ山　"
"1r0oAw","37","西クマネシリ岳","ニシクマネシリダケ","山地","43.51917","143.23333","北海道/石狩山地","1635","標高点","　"
"JmZhiz","38","三国山","ミクニヤマ","山地","43.59528","143.14639","北海道/石狩山地","1541","三国嶺","　"
"riYa0C","39","音更山","オトフケヤマ","山地","43.56167","143.03528","北海道/石狩山地","1932","音更山","　"
"9eX2IF","40","石狩岳","イシカリダケ","山地","43.54667","143.02222","北海道/石狩山地","1967","標高点","　"
"RaVVqI","41","大雪山","タイセツザン","山地","43.66361","142.85417","北海道/石狩山地","2291","瓊多窟","Ｈ20三角点標高改訂　"
"z6UO8L","42","白雲岳","ハクウンダケ","山地/峰","43.66111","142.90583","北海道/石狩山地/大雪山","2230","大石狩岳","'大雪山'の峰"
"h2TGQO","43","ニペソツ山","ニペソツヤマ","山地","43.45583","143.03222","北海道/石狩山地","2013","二屏卒山","　"
"YYSzyR","44","利尻山","リシリザン","山地","45.17861","141.24194","北海道/礼文/利尻","1721","標高点","　"
"GURsgU","45","利尻富士","リシリフジ","山地","45.17861","141.24194","北海道/礼文/利尻","1721","標高点","'利尻山'の別名"
"oQQkYX","46","忠別岳","チュウベツダケ","山地","43.59111","142.89444","北海道/石狩山地","1963","忠別岳","　"
"6MPdH0","47","ウペペサンケ山","ウペペサンケヤマ","山地","43.38944","143.08194","北海道/石狩山地","1848","標高点","　"
"OIO6p3","48","ピッシリ山","ピッシリザン","山地","44.35556","142.03194","北海道/天塩山地","1032","比後岳","　"
"wEMZ76","49","トムラウシ山","トムラウシヤマ","山地","43.52722","142.84889","北海道/石狩山地","2141","富良牛山","　"
"eALRP9","50","東ヌプカウシヌプリ","ヒガシヌプカウシヌプリ","山地","43.24583","143.10222","北海道/石狩山地","1252","奴深牛","　"
"WwKKxc","51","礼文岳","レブンダケ","山地","45.37250","141.01583","北海道/礼文/利尻","490","礼文岳","　"
"EsJDff","52","オプタテシケ山","オプタテシケヤマ","山地","43.47028","142.75167","北海道/石狩山地","2012","美瑛岳","Ｈ20三角点標高改訂　"
"moIvXi","53","美瑛岳","ビエイダケ","山地","43.44000","142.70667","北海道/石狩山地","2052","帯経絓","　"
"4kHoFl","54","十勝岳","トカチダケ","山地","43.41778","142.68639","北海道/石狩山地","2077","標高点","　"
"MgGhno","55","三頭山","サントウサン","山地","44.09167","142.08583","北海道/天塩山地","1009","三頭山","　"
"ucFa5r","56","富良野岳","フラノダケ","山地","43.39361","142.63500","北海道/石狩山地","1912","神女徳岳","　"
"c8E2Nu","57","上ホロカメットク山","カミホロカメットクヤマ","山地","43.40500","142.67167","北海道/石狩山地","1920","標高点","　"
"U4CVvx","58","佐幌岳","サホロダケ","山地","43.17333","142.78111","北海道/石狩山地","1060","佐織岳","Ｈ20三角点標高改訂　"
"C0BOdA","59","ポロシリ山","ポロシリヤマ","山地","43.96250","141.83611","北海道/天塩山地","730","翁居岳","Ｈ20三角点標高改訂　"
"jWAGVD","60","イルムケップ山","イルムケップヤマ","山地","43.62917","142.11028","北海道/夕張山地","864","三又山","Ｈ20三角点標高改訂　"
"1SzzDG","61","剣山","ツルギヤマ","山地","42.84861","142.88500","北海道/日高山脈","1205","江遠念","　"
"JOyslJ","62","富良野西岳","フラノニシダケ","山地","43.30917","142.31167","北海道/夕張山地","1331","下富良野","　"
"rKxl3M","63","トマム山","トマムサン","山地","43.07861","142.59611","北海道/日高山脈","1239","苫鵡山","　"
"9GwdLP","64","芽室岳","メムロダケ","山地","42.86889","142.78528","北海道/日高山脈","1754","芽室岳","　"
"RCv6tS","65","チロロ岳","チロロダケ","山地","42.82556","142.67528","北海道/日高山脈","1880","千呂露岳","　"
"zytZbV","66","十勝幌尻岳","トカチポロシリダケ","山地","42.69556","142.85944","北海道/日高山脈","1846","幌後岳","十勝ポロシリ岳　"
"husRTY","67","芦別岳","アシベツダケ","山地","43.23583","142.28361","北海道/夕張山地","1726","礼振岳","　"
"ZqrKC1","68","ピパイロ岳","ピパイロダケ","山地","42.77306","142.72750","北海道/日高山脈","1917","戸蔦別岳","　"
"HmqDk4","69","戸蔦別岳","トッタベツダケ","山地","42.73861","142.69500","北海道/日高山脈","1959","標高点","　"
"pipw27","70","札内岳","サツナイダケ","山地","42.69389","142.79667","北海道/日高山脈","1896","札内岳","Ｈ20三角点標高改訂　"
"7eooKa","71","エサオマントッタベツ岳","エサオマントッタベツダケ","山地","42.68917","142.75778","北海道/日高山脈","1902","標高点","　"
"Panhsd","72","幌尻岳","ポロシリダケ","山地","42.71944","142.68278","北海道/日高山脈","2053","幌尻","Ｈ20三角点標高改訂　"
"x6maag","73","楽古岳","ラッコダケ","山地","42.27250","143.11111","北海道/日高山脈","1471","面射岳","Ｈ20三角点標高改訂　"
"f2l2Sj","74","ペテガリ岳","ペテガリダケ","山地","42.49944","142.87111","北海道/日高山脈","1736","辺天狩岳","　"
"WYjVAm","75","ピリカヌプリ","ピリカヌプリ","山地","42.40222","142.96667","北海道/日高山脈","1631","奴振","　"
"EUiOip","76","中ノ岳","ナカノダケ","山地","42.46806","142.88444","北海道/日高山脈","1519","標高点","　"
"mQhH0s","77","豊似岳","トヨニダケ","山地","42.07694","143.23306","北海道/日高山脈","1105","豊似山Ⅰ","　"
"4MgzIv","78","神威岳","カムイダケ","山地","42.42833","142.90694","北海道/日高山脈","1600","神居奴振","　"
"MIfsqy","79","幾春別岳","イクシュンベツダケ","山地","43.22694","142.15944","北海道/夕張山地","1068","測定点","　"
"uEel8B","80","夕張岳","ユウバリダケ","山地","43.09972","142.25111","北海道/夕張山地","1668","夕張岳","　"
"cAddQE","81","１８３９峰","イッパサンキュウホウ","山地","42.53944","142.80806","北海道/日高山脈","1842","標高点","　"
"Uwc6yH","82","カムイエクウチカウシ山","カムイエクウチカウシヤマ","山地","42.62500","142.76639","北海道/日高山脈","1980","札内岳","Ｈ20三角点標高改訂　"
"CsaZgK","83","イドンナップ岳","イドンナップダケ","山地","42.63028","142.64861","北海道/日高山脈","1752","標高点","　"
"ko9RYN","84","暑寒別岳","ショカンベツダケ","山地","43.71583","141.52306","北海道/増毛山地","1492","暑寒岳","Ｈ20三角点標高改訂　"
"2k8KGQ","85","アポイ岳","アポイダケ","山地","42.10778","143.02556","北海道/日高山脈","810","冬島","Ｈ20三角点標高改訂　"
"Kg7DoT","86","群別岳","クンベツダケ","山地","43.68472","141.48778","北海道/増毛山地","1376","群別岳","山名（よみ）変更：Ｈ24関係自治体からの申請による。　"
"sc6w6W","87","ハッタオマナイ岳","ハッタオマナイダケ","山地","42.84694","142.31306","北海道/夕張山地","1021","辺富内","　"
"a85oOZ","88","ピンネシリ","ピンネシリ","山地","43.49194","141.70667","北海道/増毛山地","1100","賓根知山","　"
"S44hx2","89","藻岩山","モイワヤマ","山地","43.02250","141.32250","北海道/支笏/洞爺/積丹","531","藻岩山","　"
"A03af5","90","手稲山","テイネヤマ","山地","43.07667","141.19250","北海道/支笏/洞爺/積丹","1023","手稲山","Ｈ20三角点標高改訂　"
"hW22X8","91","空沼岳","ソラヌマダケ","山地","42.86500","141.25361","北海道/支笏/洞爺/積丹","1251","空沼岳","　"
"ZS0VFb","92","札幌岳","サッポロダケ","山地","42.90028","141.20056","北海道/支笏/洞爺/積丹","1293","札幌岳","　"
"HNZOne","93","樽前山","タルマエサン","山地","42.69056","141.37667","北海道/支笏/洞爺/積丹","1041","標高点","　"
"pJYH5h","94","余市岳","ヨイチダケ","山地","43.03278","141.01972","北海道/支笏/洞爺/積丹","1488","余市岳","　"
"7FXzNk","95","風不死岳","フップシダケ","山地","42.71694","141.35889","北海道/支笏/洞爺/積丹","1102","風不止","Ｈ20三角点標高改訂　"
"PBWsvn","96","恵庭岳","エニワダケ","山地","42.79333","141.28528","北海道/支笏/洞爺/積丹","1320","恵庭岳","　"
"xxVldq","97","無意根山","ムイネヤマ","山地","42.93083","141.04056","北海道/支笏/洞爺/積丹","1464","標高点","　"
"ftUdVt","98","天狗岳","テングダケ","山地","43.18472","140.66083","北海道/支笏/洞爺/積丹","872","天狗岳","　"
"XpT6Dw","99","本倶登山","ポンクトサン","山地","42.95528","140.91250","北海道/支笏/洞爺/積丹","1009","本倶登山","　"
"FlRZlz","100","ホロホロ山","ホロホロヤマ","山地","42.63361","141.14250","北海道/支笏/洞爺/積丹","1322","徳心別山","　"
"nhQS3C","101","余別岳","ヨベツダケ","山地","43.26000","140.45917","北海道/支笏/洞爺/積丹","1298","余別岳","　"
"5dPKLF","102","尻別岳","シリベツダケ","山地","42.77250","140.91028","北海道/支笏/洞爺/積丹","1107","後別岳","　"
"N9ODtI","103","羊蹄山","ヨウテイザン","山地","42.82667","140.81139","北海道/支笏/洞爺/積丹","1898","標高点","後方羊蹄山（しりべしやま）　マッカリヌプリ　"
"v5NwbL","104","蝦夷富士","エゾフジ","山地","42.82667","140.81139","北海道/支笏/洞爺/積丹","1898","標高点","'羊蹄山'の別名"
"d1MoTO","105","貫気別山","ヌッキベツヤマ","山地","42.71000","140.92278","北海道/支笏/洞爺/積丹","994","風防留山","Ｈ20三角点標高改訂　"
"UXLhBR","106","ニセコアンヌプリ","ニセコアンヌプリ","山地","42.87500","140.65889","北海道/支笏/洞爺/積丹","1308","似古安岳","　"
"CTKajU","107","昭和新山","ショウワシンザン","山地","42.54250","140.86444","北海道/支笏/洞爺/積丹","398","標高点","　"
"kPJ31X","108","目国内岳","メクンナイダケ","山地","42.89972","140.51528","北海道/支笏/洞爺/積丹","1220","標高点","　"
"2LHVK0","109","昆布岳","コンブダケ","山地","42.71028","140.65556","北海道/支笏/洞爺/積丹","1045","昆布岳","　"
"KHGOs3","110","雷電山","ライデンヤマ","山地","42.90361","140.46972","北海道/支笏/洞爺/積丹","1211","雷電岳","Ｈ20三角点標高改訂　"
"sDFHa6","111","有珠山","ウスザン","山地","42.54389","140.83917","北海道/支笏/洞爺/積丹","733","標高点","　"
"azEzS9","112","大有珠","オオウス","山地/峰","42.54389","140.83917","北海道/支笏/洞爺/積丹/有珠山","733","標高点","'有珠山'の峰"
"SvDsAc","113","恵山","エサン","山地","41.80472","141.16611","北海道/渡島半島","618","恵山","　"
"ArClif","114","母衣月山","ホロヅキヤマ","山地","42.77000","140.21500","北海道/渡島半島","504","幌月山","Ｈ20三角点標高改訂　"
"inBe0i","115","桑畑山","クワハタヤマ","山地","41.38750","141.44083","青森県/下北半島","400","尻屋山","　"
"0jA6Il","116","横津岳","ヨコツダケ","山地","41.93778","140.77139","北海道/渡島半島","1167","標高点","　"
"IfyZqo","117","大平山","オオビラヤマ","山地","42.63583","140.13556","北海道/渡島半島","1191","大平山","　"
"qbxS8r","118","駒ヶ岳","コマガタケ","山地","42.06333","140.67722","北海道/渡島半島","1131","標高点","　"
"87wKQu","119","剣ヶ峯","ケンガミネ","山地/峰","42.06333","140.67722","北海道/渡島半島/駒ヶ岳","1131","標高点","'駒ヶ岳'の峰"
"Q3vDyx","120","狩場山","カリバヤマ","山地","42.61333","139.94056","北海道/渡島半島","1520","狩場岳","　"
"xZuwgA","121","函館山","ハコダテヤマ","山地","41.75889","140.70417","北海道/渡島半島","334","標高点","　"
"fVtoYD","122","燧岳","ヒウチダケ","山地","41.43917","141.05278","青森県/下北半島","781","燧岳","　"
"XRshGG","123","乙部岳","オトベダケ","山地","42.03944","140.27472","北海道/渡島半島","1017","乙部岳","　"
"FNraoJ","124","釜臥山","カマフセヤマ","山地","41.27861","141.12000","青森県/下北半島/恐山山地","878","釜臥山","Ｈ22三角点標高改訂　"
"nJq36M","125","吹越烏帽子","フッコシエボシ","山地","41.03750","141.31722","青森県/下北半島","508","吹越山","　"
"5FoVOP","126","桂岳","カツラダケ","山地","41.78917","140.46444","北海道/渡島半島","734","桂岳","　"
"NBnOwS","127","遊楽部岳","ユウラップダケ","山地","42.21917","140.01056","北海道/渡島半島","1277","標高点","　"
"vxmHeV","128","見市岳","ケンイチダケ","山地","42.21917","140.01056","北海道/渡島半島","1277","標高点","'遊楽部岳'の別名"
"dtlzWY","129","毛無山","ケナシヤマ","山地","42.29528","139.81056","北海道/渡島半島","816","標高点","　"
"VpksF1","130","八幡岳","ハチマンダケ","山地","41.85194","140.23000","北海道/渡島半島","665","八幡岳","Ｈ20三角点標高改訂　"
"Dljln4","131","階上岳","ハシカミダケ","山地","40.40083","141.58444","青森県岩手県/北上高地","739","階上岳","Ｈ22三角点標高改訂　"
"lhie57","132","種市岳","タネイチダケ","山地","40.40083","141.58444","青森県岩手県/北上高地","739","階上岳","'階上岳'の別名"
"3dh6Na","133","岩部岳","イワベダケ","山地","41.52722","140.31083","北海道/渡島半島","794","岩部岳","　"
"L9fZvd","134","七ッ岳","ナナツダケ","山地","41.62417","140.21417","北海道/渡島半島","957","七ツ岳","　"
"t5eSdg","135","大千軒岳","ダイセンゲンダケ","山地","41.57944","140.16083","北海道/渡島半島","1072","千軒岳","　"
"b1dKVj","136","丸屋形岳","マルヤガタダケ","山地","41.15278","140.58667","青森県/津軽半島","718","丸山","　"
"SXcDDm","137","遠島山","トオシマヤマ","山地","40.02056","141.64417","岩手県/北上高地","1262","遠島山","Ｈ22三角点標高改訂　"
"ATbwlp","138","名久井岳","ナクイダケ","山地","40.38806","141.30833","青森県/北上高地","615","名久井岳","　"
"iPap3s","139","神威山","カムイヤマ","山地","42.16028","139.44278","北海道/奥尻島","584","標高点","　"
"0L9hLv","140","折爪岳","オリツメダケ","山地","40.26889","141.37444","岩手県/北上高地","852","折詰岳","　"
"IH8aty","141","峠ノ神山","トウゲノカミヤマ","山地","39.72694","141.78111","岩手県/北上高地","1229","亀ケ森山","Ｈ22三角点標高改訂　"
"qD73bB","142","十二神山","ジュウニシンザン","山地","39.53861","141.97472","岩手県/北上高地","731","十二神山","　"
"8z5VTE","143","四ッ滝山","ヨツダキヤマ","山地","41.12167","140.40056","青森県/津軽半島","670","桂川岳","　"
"Qv4OBH","144","八甲田山","ハッコウダサン","山地","40.65889","140.87722","青森県/奥羽山脈北部/八甲田山とその周辺","1585","八甲田山","Ｈ22三角点標高改訂　"
"yr3HjK","145","高田大岳","タカダオオダケ","山地/峰","40.65278","140.90833","青森県/奥羽山脈北部/八甲田山とその周辺/八甲田山","1552","標高点","'八甲田山'の峰"
"gn2A1N","146","安家森","アッカモリ","山地","40.03806","141.54111","岩手県/北上高地","1239","遠別岳","　"
"Yj1sJQ","147","戸来岳","ヘライダケ","山地","40.45306","141.00139","青森県/奥羽山脈北部/八甲田山とその周辺","1160","戸来嶽","Ｈ23三角点標高改訂　"
"Gf0lrT","148","三ッ岳","ミツダケ","山地/峰","40.45306","141.00139","青森県/奥羽山脈北部/八甲田山とその周辺/戸来岳","1160","戸来嶽","'戸来岳'の峰"
"oaZe9W","149","櫛ヶ峯","クシガミネ","山地","40.60306","140.84250","青森県/奥羽山脈北部/八甲田山とその周辺","1517","櫛ケ峰","Ｈ22三角点標高改訂　"
"66Y6RZ","150","上岳","カミダケ","山地","40.60306","140.84250","青森県/奥羽山脈北部/八甲田山とその周辺","1517","櫛ケ峰","'櫛ヶ峯'の別名"
"O2WZA2","151","三巣子岳","ミスゴダケ","山地","39.90000","141.48528","岩手県/北上高地","1182","明神頭","　"
"vYVSi5","152","堺ノ神岳","サカイノカミダケ","山地","39.75028","141.62639","岩手県/北上高地","1319","明神","　"
"dUUL08","153","梵珠山","ボンジュサン","山地","40.79972","140.57556","青森県/津軽半島","468","梵珠山","　"
"VQTDIb","154","害鷹森","ガイタカモリ","山地","39.71167","141.60444","岩手県/北上高地","1304","野津辺","　"
"DMSwqe","155","白地山","シロジヤマ","山地","40.44722","140.78806","秋田県/奥羽山脈北部/八甲田山とその周辺","1034","白地山","　"
"lIRp8h","156","稲庭岳","イナニワダケ","山地","40.19861","141.04611","岩手県/奥羽山脈北部","1078","稲庭岳","　"
"3EQhQk","157","青松葉山","アオマツバヤマ","山地","39.69750","141.48361","岩手県/北上高地","1365","青松葉山","Ｈ23三角点標高改訂　"
"LAPayn","158","七時雨山","ナナシグレヤマ","山地","40.06917","141.10556","岩手県/奥羽山脈北部","1063","標高点","　"
"twO3gq","159","中岳","ナカダケ","山地","40.24611","140.94444","秋田県岩手県/奥羽山脈北部","1024","中岳","ちゅうだけ　"
"bsMVYt","160","早池峰山","ハヤチネサン","山地","39.55861","141.48861","岩手県/北上高地","1917","標高点","　"
"ToLOGw","161","薬師岳","ヤクシダケ","山地","39.53000","141.49583","岩手県/北上高地","1645","薬師岳","　"
"BkKHoz","162","姫神山","ヒメカミサン","山地","39.84417","141.24694","岩手県/北上高地","1124","姫神岳","　"
"jgJA6C","163","五葉山","ゴヨウザン","山地","39.20528","141.73222","岩手県/北上高地","1351","標高点","　"
"1cIsOF","164","岩木山","イワキサン","山地","40.65583","140.30306","青森県/白神山地","1625","岩木山","　"
"J8HlwI","165","六角牛山","ロッコウシサン","山地","39.31833","141.65028","岩手県/北上高地","1293","六角牛山","Ｈ23三角点標高改訂　"
"r4GeeL","166","五ノ宮嶽","ゴノミヤダケ","山地","40.14583","140.84583","秋田県/奥羽山脈北部","1115","五ノ宮","　"
"90F6WO","167","江良岳","エラダケ","山地","41.51000","139.36722","北海道/渡島大島","732","大島","　"
"QWDZER","168","岩手山","イワテサン","山地","39.85250","141.00111","岩手県/奥羽山脈北部","2038","岩手山","　"
"ySCSmU","169","八幡平","ハチマンタイ","山地","39.95778","140.85417","岩手県/奥羽山脈北部","1613","八幡平","Ｈ23三角点標高改訂　"
"gOBL4X","170","茶臼岳","チャウスダケ","山地/峰","39.95083","140.89889","岩手県/奥羽山脈北部/八幡平","1578","茶臼岳","'八幡平'の峰"
"YKADN0","171","田代岳","タシロダケ","山地","40.42861","140.40889","秋田県/白神山地","1178","田代山","　"
"GGzwv3","172","八幡平","ハチマンタイ","山地","39.93583","140.85056","秋田県/奥羽山脈北部","1578","小引岳","　"
"oCypd6","173","畚岳","モッコダケ","山地/峰","39.93583","140.85056","秋田県/奥羽山脈北部/八幡平","1578","小引岳","'八幡平'の峰"
"6yxhV9","174","焼山","ヤケヤマ","山地","39.96389","140.75694","秋田県/奥羽山脈北部","1366","焼山","　"
"OuwaDc","175","氷上山","ヒカミサン","山地","39.05889","141.66056","岩手県/北上高地","874","氷上山","Ｈ22三角点標高改訂　"
"wqv3lf","176","大深岳","オオフカダケ","山地","39.88111","140.87972","岩手県秋田県/奥羽山脈北部","1541","大深岳","Ｈ23三角点標高改訂　"
"emtW3i","177","物見山","モノミヤマ","山地","39.20111","141.40167","岩手県/北上高地","870","種山","Ｈ22三角点標高改訂　"
"WisOLl","178","駒ヶ岳","コマガタケ","山地","40.41278","140.25111","秋田県/白神山地","1158","駒ケ岳","藤里駒ヶ岳（ふじさとこまがたけ）　"
"EerHto","179","烏帽子岳","エボシダケ","山地","39.80500","140.83861","岩手県秋田県/奥羽山脈北部","1478","標高点","　"
"maqAbr","180","乳頭山","ニュウトウザン","山地","39.80500","140.83861","岩手県秋田県/奥羽山脈北部","1478","標高点","'烏帽子岳'の別名"
"46psTu","181","東根山","アズマネヤマ","山地","39.58750","141.05972","岩手県/奥羽山脈中部","928","東根山","　"
"M2olBx","182","駒ヶ岳","コマガタケ","山地","39.76111","140.79944","秋田県/奥羽山脈北部","1637","駒ケ岳","　"
"tYnejA","183","男女岳","オナメダケ","山地/峰","39.76111","140.79944","秋田県/奥羽山脈北部/駒ヶ岳","1637","駒ケ岳","'駒ヶ岳'の峰"
"bUm71D","184","向白神岳","ムカイシラカミダケ","山地","40.52389","140.04556","青森県/白神山地","1250","標高点","　"
"TQkZJG","185","森吉山","モリヨシザン","山地","39.97667","140.54417","秋田県/奥羽山脈北部","1454","森吉山","　"
"BMjSrJ","186","二ッ森","フタツモリ","山地","40.43500","140.11778","青森県秋田県/白神山地","1087","泊岳","Ｈ23三角点標高改訂　"
"jIiL9M","187","白神岳","シラカミダケ","山地","40.50750","140.01833","青森県/白神山地","1235","標高点","　"
"1EhDRP","188","室根山","ムロネサン","山地","38.97528","141.44722","岩手県/北上高地","895","室根山","　"
"JAgwzS","189","大仏岳","ダイブツダケ","山地","39.81361","140.51556","秋田県/出羽山地","1167","大佛岳","　"
"rwfphV","190","徳仙丈山","トクセンジョウヤマ","山地","38.84833","141.47000","宮城県/北上高地","710","津谷","Ｈ23三角点標高改訂　"
"9sehZY","191","和賀岳","ワガダケ","山地","39.57028","140.75417","岩手県秋田県/奥羽山脈中部","1440","和賀嶽","　"
"RodaI1","192","黒森","クロモリ","山地","39.34833","140.86833","岩手県/奥羽山脈中部","944","和黒森山","Ｈ22三角点標高改訂　"
"zkc3q4","193","房住山","ボウジュウサン","山地","40.06056","140.21611","秋田県/出羽山地","409","孫一長峰","　"
"hgaW87","194","太平山","タイヘイザン","山地","39.79694","140.31056","秋田県/出羽山地","1171","太平山","Ｈ23三角点標高改訂　"
"Zc9OQa","195","真昼岳","マヒルダケ","山地","39.44778","140.67667","岩手県秋田県/奥羽山脈中部","1060","真昼岳","　"
"H88Hyd","196","焼石岳","ヤケイシダケ","山地","39.16361","140.82889","岩手県/奥羽山脈中部","1547","焼石岳","Ｈ23三角点標高改訂　"
"p47Agg","197","寒風山","カンプウザン","山地","39.93361","139.87528","秋田県/男鹿半島","355","寒風山","　"
"706sYj","198","金華山","キンカサン","山地","38.29528","141.56667","宮城県/北上高地","444","金華山","Ｈ23三角点標高改訂　"
"OW5lGm","199","栗駒山","クリコマヤマ","山地","38.96083","140.78833","岩手県宮城県/奥羽山脈中部","1627","酢川岳","須川岳（すかわだけ）　"
"wS4eop","200","箟岳山","ノノダケヤマ","山地","38.56583","141.17861","宮城県/奥羽山脈南部","236","標高点","　"
"eO376s","201","本山","ホンザン","山地","39.90694","139.75389","秋田県/男鹿半島","715","男鹿島","　"
"WK1ZOv","202","高松岳","タカマツダケ","山地","38.96750","140.60639","秋田県/奥羽山脈中部","1348","標高点","　"
"EG0Swy","203","東光山","トウコウサン","山地","39.40639","140.16167","秋田県/出羽山地","594","標高点","　"
"mBZLeB","204","虎毛山","トラゲサン","山地","38.90472","140.61889","秋田県/奥羽山脈中部","1433","須金岳","　"
"4xYDWE","205","荒雄岳","アラオダケ","山地","38.83306","140.69139","宮城県/奥羽山脈中部","984","荒雄岳","　"
"MtXwEH","206","禿岳","カムロダケ","山地","38.81083","140.59500","山形県宮城県/奥羽山脈中部","1261","小鏑","Ｈ23三角点標高改訂　"
"upWpmK","207","小鏑山","コカブラヤマ","山地","38.81083","140.59500","山形県宮城県/奥羽山脈中部","1261","小鏑","'禿岳'の別名"
"clVi4N","208","大高森","オオタカモリ","山地","38.34056","141.15250","宮城県/奥羽山脈南部","105","大高森","三角点標高改訂　"
"UhUaMQ","209","八塩山","ヤシオヤマ","山地","39.23667","140.22778","秋田県/出羽山地","713","大八汐","　"
"CdT3uT","210","甑山","コシキヤマ","山地","39.01194","140.31056","山形県/出羽山地","981","母子鬼山","　"
